game_label,n_agents,competition_key,competition_value,adversary_model,adversary_elo,run_count,adversary_utility_mean,adversary_utility_std,baseline_mean_utility_mean,baseline_mean_utility_std,mean_utility,consensus_rate
game1,6,comp=0.50,0.5,gemini-2.5-pro,1448.0,4,39.5,4.795831523312718,39.45,3.3521137609971787,39.458333333333336,1.0
game1,6,comp=0.75,0.75,amazon-nova-micro-v1.0,1240.0,4,13.5,12.897028081435401,25.0,2.6280537792569363,23.083333333333336,1.0
game1,6,comp=0.75,0.75,gpt-4o-mini-2024-07-18,1317.0,3,22.46666666666667,18.759086687078703,20.253333333333334,3.237365183808174,20.622222222222224,1.0
game1,6,comp=0.75,0.75,claude-sonnet-4-20250514,1389.0,2,36.0,0.0,27.6,2.5455844122715683,29.0,1.0
game1,6,comp=0.75,0.75,gemini-2.5-pro,1448.0,4,24.5,9.678154093971983,23.595,5.127192214068045,23.745833333333334,1.0
game1,6,comp=1.00,1.0,amazon-nova-micro-v1.0,1240.0,4,20.5125,19.31624424329602,14.9475,3.1927561238946294,15.875000000000002,1.0
game1,6,comp=1.00,1.0,gpt-4o-mini-2024-07-18,1317.0,3,18.666666666666668,18.502252115170556,16.266666666666666,3.7004504230341118,16.666666666666668,1.0
game1,6,comp=1.00,1.0,claude-sonnet-4-20250514,1389.0,4,23.528075,16.189195595288236,11.355385,2.0376481837893405,13.384166666666667,1.0
game1,6,comp=1.00,1.0,gemini-2.5-pro,1448.0,4,15.7625,8.237654904967393,15.8975,0.6245198155383063,15.875,1.0
game1,6,comp=1.00,1.0,gpt-5.4-high,1484.0,1,33.0,,13.4,,16.666666666666668,1.0
game1,8,comp=0.00,0.0,amazon-nova-micro-v1.0,1240.0,2,100.0,0.0,92.85714285714286,10.101525445522107,93.75,1.0
game1,8,comp=0.00,0.0,gpt-4o-mini-2024-07-18,1317.0,4,100.0,0.0,85.71428571428571,11.664236870396088,87.5,1.0
game1,8,comp=0.00,0.0,claude-sonnet-4-20250514,1389.0,2,100.0,0.0,92.85714285714286,10.101525445522118,93.75,1.0
