game_label,n_agents,competition_key,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,6,comp=0.00,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,2,100.0,0.0
game1,6,comp=0.00,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,100.0,
game1,6,comp=0.00,claude-opus-4-6,Opus 4.6,1499,1,100.0,
game1,6,comp=0.00,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,1,100.0,
game1,6,comp=0.25,amazon-nova-micro-v1.0,Nova Micro,1240,2,48.5,3.5355339059327378
game1,6,comp=0.25,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,66.0,
game1,6,comp=0.25,command-r-plus-08-2024,Command R+,1276,1,48.6,
game1,6,comp=0.25,amazon-nova-pro-v1.0,Nova Pro,1290,3,51.333333333333336,15.14375558880073
game1,6,comp=0.25,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,2,41.0,14.142135623730951
game1,6,comp=0.25,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,3,36.166666666666664,10.680979980008077
game1,6,comp=0.25,gpt-4o-2024-05-13,GPT-4o,1345,2,50.0,2.8284271247461903
game1,6,comp=0.25,deepseek-v3,DeepSeek V3,1358,1,56.0,
game1,6,comp=0.25,o3-mini-high,o3-mini-high,1363,2,72.1,2.6870057685088837
game1,6,comp=0.25,gemma-3-27b-it,Gemma 3 27B,1365,2,50.5,14.849242404917497
game1,6,comp=0.25,claude-sonnet-4-20250514,Sonnet 4,1389,2,42.0,9.899494936611665
game1,6,comp=0.25,claude-haiku-4-5-20251001,Haiku 4.5,1407,1,64.0,
game1,6,comp=0.25,qwen3-max-preview,Qwen3 Max,1435,3,60.63333333333333,4.123509831846329
game1,6,comp=0.25,claude-opus-4-5-20251101,Opus 4.5,1468,1,38.7,
game1,6,comp=0.25,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,1,52.0,
game1,6,comp=0.25,claude-opus-4-6,Opus 4.6,1499,3,62.833333333333336,20.25051439675875
game1,6,comp=0.50,amazon-nova-micro-v1.0,Nova Micro,1240,1,11.0,
game1,6,comp=0.50,claude-3-haiku-20240307,Claude 3 Haiku,1260,1,44.0,
game1,6,comp=0.50,amazon-nova-pro-v1.0,Nova Pro,1290,1,32.0,
game1,6,comp=0.50,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,1,34.0,
game1,6,comp=0.50,llama-3.3-70b-instruct,Llama 3.3 70B,1318,3,17.0,15.716233645501712
game1,6,comp=0.50,gemma-3-27b-it,Gemma 3 27B,1365,2,19.0,21.213203435596427
game1,6,comp=0.50,claude-sonnet-4-20250514,Sonnet 4,1389,1,48.0,
game1,6,comp=0.50,claude-haiku-4-5-20251001,Haiku 4.5,1407,2,34.0,2.8284271247461903
game1,6,comp=0.50,qwen3-max-preview,Qwen3 Max,1435,1,35.0,
game1,6,comp=0.50,claude-opus-4-5-20251101,Opus 4.5,1468,1,52.0,
game1,6,comp=0.50,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,1,44.0,
game1,6,comp=0.50,claude-opus-4-6,Opus 4.6,1499,2,57.0,11.313708498984761
game1,6,comp=0.50,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,1,48.0,
