adversary_model,adversary_short,adversary_tier,competition_level,consensus_rate,final_round,utility_gap,adversary_stubbornness_proxy,adversary_repeat_rate,adversary_parse_failure_rate,adversary_all_items_rate
o3-mini-high,o3-mini-high,Medium,0.9,0.75,4.25,-9.39,0.2569444444444444,0.3472222222222222,0.0,0.0
o3-mini-high,o3-mini-high,Medium,0.95,1.0,5.25,6.08814403425,0.3038194444444444,0.7430555555555556,0.0,0.0
o3-mini-high,o3-mini-high,Medium,1.0,0.75,4.5,11.944733333333332,0.19444444444444445,0.3472222222222222,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,0.25,1.0,1.25,-15.100000000000001,0.10069444444444445,0.0,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,0.5,1.0,1.25,0.47499999999999876,0.10069444444444445,0.0,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,0.75,1.0,1.5,-16.025,0.3125,0.5,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,0.9,1.0,1.25,1.674999999999999,0.15625,0.0,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,0.95,1.0,1.75,4.562499999999998,0.19444444444444445,0.25,0.0,0.0
qwen2.5-72b-instruct,Qwen2.5 72B,Medium,1.0,0.75,3.5,-21.733333333333334,0.25,0.25,0.0,0.0
qwen3-max-preview,Qwen3 Max,Strong,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
qwen3-max-preview,Qwen3 Max,Strong,0.25,1.0,1.0,-3.5,0.125,0.0,0.0,0.0
qwen3-max-preview,Qwen3 Max,Strong,0.5,1.0,1.0,13.0,0.125,0.0,0.0,0.0
qwen3-max-preview,Qwen3 Max,Strong,0.75,1.0,2.25,20.886575,0.2715277777777778,0.375,0.05,0.05
qwen3-max-preview,Qwen3 Max,Strong,0.9,1.0,1.5,-4.800000000000001,0.13194444444444445,0.0,0.0,0.0
qwen3-max-preview,Qwen3 Max,Strong,0.95,1.0,1.0,1.5,0.125,0.0,0.0,0.0
qwen3-max-preview,Qwen3 Max,Strong,1.0,1.0,3.0,0.16830000000000034,0.31319444444444444,0.375,0.05,0.05
qwq-32b,QwQ-32B,Medium,0.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0
qwq-32b,QwQ-32B,Medium,0.25,1.0,1.0,7.5,0.125,0.0,0.0,0.0
qwq-32b,QwQ-32B,Medium,0.5,1.0,1.0,12.25,0.125,0.0,0.0,0.0
qwq-32b,QwQ-32B,Medium,0.75,1.0,2.25,-13.17775,0.2361111111111111,0.41666666666666663,0.0,0.0
qwq-32b,QwQ-32B,Medium,0.9,1.0,1.0,5.75,0.125,0.0,0.0,0.0
qwq-32b,QwQ-32B,Medium,0.95,1.0,1.75,11.427499999999998,0.1423611111111111,0.16666666666666666,0.0,0.0
qwq-32b,QwQ-32B,Medium,1.0,1.0,1.75,-12.575000000000001,0.19444444444444445,0.25,0.0,0.0
qwq-32b-preview,qwq-32b-preview,Unknown,0.0,1.0,1.25,0.0,0.21875,0.25,0.0,0.0
qwq-32b-preview,qwq-32b-preview,Unknown,0.25,1.0,1.25,-0.9499999999999975,0.21875,0.25,0.0,0.0
qwq-32b-preview,qwq-32b-preview,Unknown,0.5,1.0,1.25,3.0000000000000018,0.15625,0.0,0.0,0.0
qwq-32b-preview,qwq-32b-preview,Unknown,0.75,1.0,1.0,6.0,0.125,0.0,0.0,0.0
qwq-32b-preview,qwq-32b-preview,Unknown,0.9,1.0,1.0,3.75,0.125,0.0,0.0,0.0
qwq-32b-preview,qwq-32b-preview,Unknown,0.95,1.0,1.75,-1.3499999999999996,0.34375,0.5,0.0,0.0
