game_label,competition_key,competition_value,model,model_short,elo,agent_run_count,final_utility_mean,final_utility_std
game1,comp=0.50,0.5,deepseek-v3,DeepSeek V3,1358,6,62.370000000000005,17.338713908476603
game1,comp=0.50,0.5,o3-mini-high,o3-mini-high,1363,7,48.628571428571426,8.09232440561513
game1,comp=0.50,0.5,gemma-3-27b-it,Gemma 3 27B,1365,9,34.266666666666666,25.546085805852922
game1,comp=0.50,0.5,claude-sonnet-4-20250514,Sonnet 4,1389,6,61.96666666666667,14.142371324027193
game1,comp=0.50,0.5,claude-haiku-4-5-20251001,Haiku 4.5,1407,4,43.375,14.828885100820404
game1,comp=0.50,0.5,deepseek-r1-0528,DeepSeek R1-0528,1422,5,51.279999999999994,8.06951051799302
game1,comp=0.50,0.5,qwen3-max-preview,Qwen3 Max,1435,5,38.839999999999996,5.265738314804485
game1,comp=0.50,0.5,gemini-2.5-pro,Gemini 2.5 Pro,1448,1,81.0,
game1,comp=0.50,0.5,claude-opus-4-5-20251101,Opus 4.5,1468,3,44.63333333333333,9.961090971039932
game1,comp=0.50,0.5,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,8,50.55,18.95159246983897
game1,comp=0.50,0.5,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,6,42.53333333333333,11.663218538065156
game1,comp=0.50,0.5,gpt-5.4-high,GPT-5.4 High,1484,4,56.1,9.07781177744211
game1,comp=0.50,0.5,gemini-3-pro,Gemini 3 Pro,1486,2,76.5,19.091883092036785
game1,comp=0.50,0.5,claude-opus-4-6,Opus 4.6,1499,6,58.28333333333333,9.732505672573053
game1,comp=0.50,0.5,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,3,50.800000000000004,7.597367965289034
game1,comp=0.75,0.75,amazon-nova-micro-v1.0,Nova Micro,1240,3,51.699999999999996,23.743841306747314
game1,comp=0.75,0.75,claude-3-haiku-20240307,Claude 3 Haiku,1260,4,33.35,16.771702358436965
game1,comp=0.75,0.75,command-r-plus-08-2024,Command R+,1276,4,41.125,21.64029805709709
game1,comp=0.75,0.75,amazon-nova-pro-v1.0,Nova Pro,1290,5,59.279999999999994,21.31412677075934
game1,comp=0.75,0.75,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,3,53.166666666666664,20.81065432256596
game1,comp=0.75,0.75,llama-3.3-70b-instruct,Llama 3.3 70B,1318,5,28.0,12.103718436910205
game1,comp=0.75,0.75,gpt-4.1-nano-2025-04-14,GPT-4.1 nano,1322,6,38.050333333333334,13.74506168289785
game1,comp=0.75,0.75,gpt-5-nano-high,GPT-5-nano,1337,2,0.0,0.0
game1,comp=0.75,0.75,gpt-4o-2024-05-13,GPT-4o,1345,4,40.59325,12.46053699685531
game1,comp=0.75,0.75,deepseek-v3,DeepSeek V3,1358,5,48.1,6.923149572268389
game1,comp=0.75,0.75,o3-mini-high,o3-mini-high,1363,9,52.08188888888889,20.451037311371547
game1,comp=0.75,0.75,gemma-3-27b-it,Gemma 3 27B,1365,5,44.183,11.814057093141201
game1,comp=0.75,0.75,claude-sonnet-4-20250514,Sonnet 4,1389,4,49.85,21.092415698539607
game1,comp=0.75,0.75,deepseek-r1-0528,DeepSeek R1-0528,1422,5,59.120000000000005,14.054074142397287
game1,comp=0.75,0.75,qwen3-max-preview,Qwen3 Max,1435,4,36.525,19.590027224755627
game1,comp=0.75,0.75,gemini-2.5-pro,Gemini 2.5 Pro,1448,3,53.333333333333336,21.1266025033211
game1,comp=0.75,0.75,claude-opus-4-5-20251101,Opus 4.5,1468,5,49.42,15.68700098807927
game1,comp=0.75,0.75,claude-opus-4-5-20251101-thinking-32k,Opus 4.5 Thinking,1474,8,31.35,23.725995387820028
game1,comp=0.75,0.75,gpt-5.2-chat-latest-20260210,GPT-5.2 Chat,1478,3,40.13333333333333,8.471914384206997
game1,comp=0.75,0.75,gpt-5.4-high,GPT-5.4 High,1484,2,56.8,24.324473272817233
game1,comp=0.75,0.75,claude-opus-4-6,Opus 4.6,1499,1,36.0,
game1,comp=0.75,0.75,claude-opus-4-6-thinking,Opus 4.6 Thinking,1504,2,44.55,1.9091883092036779
game1,comp=1.00,1.0,amazon-nova-micro-v1.0,Nova Micro,1240,6,23.983333333333334,15.184257198383682
game1,comp=1.00,1.0,claude-3-haiku-20240307,Claude 3 Haiku,1260,3,16.722333333333335,2.300325266855393
game1,comp=1.00,1.0,command-r-plus-08-2024,Command R+,1276,1,18.895680000000002,
game1,comp=1.00,1.0,amazon-nova-pro-v1.0,Nova Pro,1290,1,22.0,
game1,comp=1.00,1.0,gpt-4o-mini-2024-07-18,GPT-4o mini,1317,5,29.91049,26.834166191638975
